"player","class","pos","team","stretch_big","draws_fouls","passing_big","rim_protector","oreb","dreb","Dim.1","Dim.2","Dim.3","Dim.4"
"Julius Randle","NBA","F-C","NYK",0.864583333333333,0.53125,0.979166666666667,0.104166666666667,0.0520833333333333,0.739583333333333,-2.00416978503807,2.05232822640689,-0.152103408856672,0.131981061861609
"Nikola Vučević","NBA","C","CHIORL",0.802083333333333,0.0104166666666667,0.875,0.28125,0.145833333333333,0.895833333333333,-2.11115238499958,1.50791360968516,0.622277161286845,-1.41904986809936
"Nikola Jokić","NBA","C-F","DEN",0.677083333333333,0.604166666666667,1,0.645833333333333,0.395833333333333,0.927083333333333,-0.347374735837126,2.00067883347953,1.34070600542728,0.12415088003621
"Domantas Sabonis","NBA","C-F","INDSAC",0.5,0.791666666666667,0.989583333333333,0.427083333333333,0.427083333333333,0.84375,0.117981197098034,2.15778196668743,0.450716063170817,0.570288590330414
"Bam Adebayo","NBA","C-F","MIA",0.145833333333333,0.770833333333333,0.927083333333333,0.666666666666667,0.25,0.614583333333333,0.493601388003739,1.10766737503909,0.990121227946724,1.21739194761577
"Rudy Gobert","NBA","C","MINUTA",0.114583333333333,1,0.125,0.875,0.708333333333333,0.989583333333333,2.9430797888226,0.00172715684428524,0.954862752507171,-0.211578993753862
"Joel Embiid","NBA","C","PHI",0.65625,0.96875,0.96875,0.833333333333333,0.208333333333333,0.875,0.00147270756273433,1.83642962963463,1.82217244489643,1.22838539953591
"Jonas Valančiūnas","NBA","C","MEMNOP",0.572916666666667,0.34375,0.708333333333333,0.239583333333333,0.75,0.979166666666667,0.146240327351436,1.7240063639653,-0.235419992990697,-1.38384543553697
"Jarrett Allen","NBA","C-F","BRKCLE",0.25,0.864583333333333,0.479166666666667,0.614583333333333,0.677083333333333,0.697916666666667,1.64801448806038,0.500972663391685,0.20418151703552,0.387819230348491
"Deandre Ayton","NBA","C","PHO",0.333333333333333,0.114583333333333,0.416666666666667,0.270833333333333,0.520833333333333,0.78125,-0.0272688279525751,0.255921001719776,-0.29679259207468,-1.6905482923129
"Jakob Poeltl","NBA","C","SASTOR",0.541666666666667,0.427083333333333,0.770833333333333,0.75,0.770833333333333,0.416666666666667,0.176003105814102,0.289398652707641,0.653015412635527,0.374385508173786
"Clint Capela","NBA","C","ATL",0.0416666666666667,0.354166666666667,0.104166666666667,0.510416666666667,0.927083333333333,0.96875,2.27949944126793,-0.152161481271816,-0.0901045506505093,-1.97732524629738
"Ivica Zubac","NBA","C","LAC",0.208333333333333,0.875,0.375,0.489583333333333,0.75,0.666666666666667,1.85635473107868,0.345277104569027,-0.353851118333495,0.225753049040343
"Lauri Markkanen","NBA","F-C","CHICLEUTA",0.958333333333333,0.3125,0.322916666666667,0.0520833333333333,0.03125,0.229166666666667,-2.46139248963708,-0.629972441023186,-1.21886029696418,-0.19461464641018
"Mason Plumlee","NBA","C-F","CHODETLAC",0.104166666666667,0.927083333333333,0.916666666666667,0.604166666666667,0.572916666666667,0.71875,1.46007774150639,1.58172668448174,0.553372811719554,1.1293648489682
"Karl-Anthony Towns","NBA","C-F","MIN",0.875,0.625,0.947916666666667,0.395833333333333,0.239583333333333,0.625,-1.40651070739463,1.58146046267054,0.367881329554888,0.623957137248282
"Evan Mobley","NBA","F-C","CLE",0.34375,0.447916666666667,0.729166666666667,0.8125,0.229166666666667,0.395833333333333,-0.33118237950721,-0.161274252282247,1.22913561911679,0.767301706830817
"Robert Covington","NBA","F-C","LACPOR",0.989583333333333,0.03125,0.34375,0.78125,0,0.260416666666667,-2.46076045078734,-1.54035776703466,1.17607330826343,-0.378967789315078
"Kristaps Porziņģis","NBA","F-C","DALWAS",0.84375,0.541666666666667,0.708333333333333,0.479166666666667,0.1875,0.541666666666667,-1.36291215029198,0.65162606594578,0.433215516379134,0.381928588529264
"Wendell Carter Jr.","NBA","C","CHIORL",0.739583333333333,0.489583333333333,0.770833333333333,0.229166666666667,0.333333333333333,0.770833333333333,-0.991949617331485,1.50017714104223,-0.133988355163478,-0.351695186113865
"Kevon Looney","NBA","F-C","GSW",0.260416666666667,0.572916666666667,0.791666666666667,0.583333333333333,0.822916666666667,0.604166666666667,1.08030302874176,0.933960705398132,0.231752092504877,0.243334349792217
"Steven Adams","NBA","C","MEMNOP",0.0729166666666667,0.90625,0.75,0.4375,0.989583333333333,0.479166666666667,2.07370727657023,1.01693472315578,-0.693397869492282,1.03641147420577
"Al Horford","NBA","C-F","BOSOKC",0.96875,0,0.84375,0.739583333333333,0.0625,0.34375,-2.75236890962742,-0.12794840605756,1.45687999964497,-0.0213863595776852
"Kelly Olynyk","NBA","C-F","DETHOUMIAUTA",0.927083333333333,0.46875,0.90625,0.416666666666667,0.0729166666666667,0.34375,-2.24849772473415,0.741658779908289,0.308782078547325,0.899705890413016
"Isaiah Stewart","NBA","F-C","DET",0.666666666666667,0.21875,0.28125,0.333333333333333,0.604166666666667,0.59375,-0.391096770415979,-0.28803152734153,-0.493736870019239,-1.29911498046045
"Brook Lopez","NBA","C","MIL",0.885416666666667,0.09375,0.0833333333333333,0.791666666666667,0.177083333333333,0.03125,-1.79903244563567,-2.54827498791453,0.569629060194148,-0.178673881124283
"Myles Turner","NBA","C-F","IND",0.833333333333333,0.520833333333333,0.177083333333333,0.96875,0.09375,0.375,-0.867163346295928,-1.54996251836549,1.42811502941806,0.349206554231614
"Anthony Davis","NBA","F-C","LAL",0.385416666666667,0.71875,0.8125,0.864583333333333,0.364583333333333,0.645833333333333,0.420974691582964,0.749058188671872,1.48966203734257,0.916958145606552
"Mitchell Robinson","NBA","C","NYK",0,0.84375,0.03125,0.916666666666667,0.958333333333333,0.25,2.85276639955264,-1.78034149117074,0.0228857260362521,0.762939471542261
"Dwight Powell","NBA","F-C","DAL",0.354166666666667,0.958333333333333,0.4375,0.291666666666667,0.552083333333333,0.0520833333333333,0.570880248076761,-0.441733066582893,-1.43573765758405,1.7282284648795
"Montrezl Harrell","NBA","F-C","CHOLALPHIWAS",0.166666666666667,0.885416666666667,0.614583333333333,0.34375,0.5625,0.1875,0.85949331060063,0.0815535084875335,-1.0016485437997,1.57205486183393
"Jusuf Nurkić","NBA","C","POR",0.53125,0.739583333333333,0.885416666666667,0.46875,0.510416666666667,0.9375,0.339779877343892,2.04000829576646,0.560322990232989,0.100062860065912
"Nic Claxton","NBA","C","BRK",0.1875,0.760416666666667,0.479166666666667,0.947916666666667,0.427083333333333,0.541666666666667,1.25899499242516,-0.35963160317862,1.28807421406487,0.836730212660567
"Alperen Şengün","NBA","C-F","HOU",0.46875,0.6875,0.9375,0.458333333333333,0.604166666666667,0.375,0.00149246559690676,1.05638781821884,-0.12917233203033,1.17331901965157
"Robert Williams","NBA","C-F","BOS",0.0833333333333333,0.208333333333333,0.635416666666667,0.979166666666667,0.84375,0.53125,1.29675905645322,-0.358375157769832,1.34954561886921,-0.35536040416274
"Andre Drummond","NBA","C","BRKCHICLELALPHI",0.125,0.65625,0.697916666666667,0.65625,0.96875,1,2.23541767599814,1.47373111080057,0.644351834654359,-0.527878578837499
"Larry Nance Jr.","NBA","F-C","CLENOPPOR",0.71875,0.104166666666667,0.75,0.541666666666667,0.21875,0.291666666666667,-1.9153824765441,-0.179406048994341,0.52351827435603,0.0214601228552498
"Mo Bamba","NBA","C","LALORL",0.9375,0.0625,0.416666666666667,0.822916666666667,0.364583333333333,0.71875,-1.26171100671023,-0.376941338860173,1.52506757383862,-1.32596432931732
"Marvin Bagley III","NBA","F-C","DETSAC",0.59375,0.25,0.125,0.03125,0.489583333333333,0.40625,-0.656391528264967,-0.741763136892083,-1.64361046731745,-1.16773211971811
"Richaun Holmes","NBA","C-F","SAC",0.458333333333333,0.364583333333333,0.34375,0.385416666666667,0.385416666666667,0.458333333333333,-0.302103152059006,-0.483980201503748,-0.34309612315567,-0.429809838824243
"Zion Williamson","NBA","F-C","NOP",0.40625,0.916666666666667,0.958333333333333,0.166666666666667,0.3125,0.0625,-0.583181699121924,0.875687084928805,-1.1930255542693,2.33866485366976
"Moritz Wagner","NBA","F-C","BOSORLWAS",0.822916666666667,0.677083333333333,0.739583333333333,0.114583333333333,0.104166666666667,0.270833333333333,-1.80951473450649,0.670053391656452,-0.931282819318867,1.10110999536751
"Bismack Biyombo","NBA","C-F","CHOPHO",0.0520833333333333,0.78125,0.458333333333333,0.90625,0.635416666666667,0.270833333333333,1.69027907978815,-0.841980209833179,0.636749723259292,1.30007390054941
"Blake Griffin","NBA","F-C","BOSBRKDET",0.895833333333333,0.260416666666667,0.84375,0.135416666666667,0.125,0.208333333333333,-2.66475918114357,0.475670343003371,-0.68772870636824,0.429964425133144
"Daniel Theis","NBA","C","BOSCHIHOUIND",0.75,0.145833333333333,0.53125,0.375,0.145833333333333,0.1875,-2.06903114320962,-0.714519397714915,-0.199697776096938,-0.0295210647897351
"Khem Birch","NBA","C-F","ORLTOR",0.3125,0.510416666666667,0.458333333333333,0.3125,0.645833333333333,0.0416666666666667,0.155173448408974,-0.771609164507252,-1.25748641413407,0.747160277551262
"Chimezie Metu","NBA","F-C","SAC",0.729166666666667,0.15625,0.385416666666667,0.21875,0.0729166666666667,0.635416666666667,-1.72572070370693,-0.0514485850859349,-0.215193184847721,-1.18717088016229
"DeAndre Jordan","NBA","C","BRKDENLALPHI",0.552083333333333,0.614583333333333,0.510416666666667,0.697916666666667,0.677083333333333,0.822916666666667,0.81893291966078,0.623552554383749,0.765051008001557,-0.378706354411902
"Taj Gibson","NBA","F-C","NYKWAS",0.520833333333333,0.5,0.208333333333333,0.71875,0.489583333333333,0.09375,-0.00262832748376635,-1.71990438253927,0.00927584609795874,0.601307789333042
"Nerlens Noel","NBA","C-F","BRKDETNYK",0.177083333333333,0.59375,0.0729166666666667,0.989583333333333,0.40625,0.21875,1.09959113707328,-2.16348488703317,0.854227393669184,0.640868290986449
"Robin Lopez","NBA","C","CLEORLWAS",0.416666666666667,0.40625,0.552083333333333,0.145833333333333,0.572916666666667,0,-0.582730542677194,-0.520375786371042,-1.61416864110126,0.641379201913988
"JaVale McGee","NBA","C","CLEDALDENPHO",0.270833333333333,0.385416666666667,0.270833333333333,0.854166666666667,0.802083333333333,0.833333333333333,1.61236139831875,-0.334334952520682,1.03291093022707,-1.15250680619005
"Tristan Thompson","NBA","F-C","BOSCHIINDSAC",0.21875,0.729166666666667,0.25,0.0625,0.84375,0.5,1.44809264769218,0.103900011141564,-1.92679594180787,-0.243777431867589
"Mike Muscala","NBA","F-C","BOSOKC",1,0.0729166666666667,0.28125,0.25,0.0104166666666667,0.229166666666667,-2.75597319148399,-1.13312142824789,-0.524212606942698,-0.65172002569606
"Enes Freedom","NBA","C","BOSPOR",0.375,0.375,0.229166666666667,0.09375,0.947916666666667,0.90625,1.21202574058752,0.612574371831885,-1.307896640143,-1.96360542581425
"Dwight Howard","NBA","C","LALPHI",0.489583333333333,0.989583333333333,0.21875,0.5,0.916666666666667,0.947916666666667,2.16834005504257,0.74142145928092,-0.282268016472982,-0.431321873328419
"Willy Hernangómez","NBA","C","NOP",0.28125,0.822916666666667,0.614583333333333,0.125,0.927083333333333,0.791666666666667,1.59520224039761,1.61274119863699,-1.26079705114615,-0.174441832351312
"Damian Jones","NBA","F-C","LALPHOSACUTA",0.583333333333333,0.895833333333333,0.4375,0.59375,0.291666666666667,0.166666666666667,-0.139884449651328,-0.620713267336178,-0.116465379898873,1.65076514381669
"Serge Ibaka","NBA","F-C","LACMIL",0.791666666666667,0.0416666666666667,0.5625,0.40625,0.3125,0.447916666666667,-1.77005182310486,-0.176329876342741,0.112793300313702,-0.836836960640475
"Zach Collins","NBA","C-F","SAS",0.770833333333333,0.395833333333333,0.885416666666667,0.447916666666667,0.34375,0.520833333333333,-1.34304234675129,0.992055393889544,0.361313015783884,0.239729395689926
"Thomas Bryant","NBA","C","DENLALWAS",0.6875,0.4375,0.177083333333333,0.197916666666667,0.25,0.5,-0.852309555371118,-0.521973046397318,-0.863477758703255,-0.654159341504803
"Alex Len","NBA","C","SACTORWAS",0.4375,0.75,0.53125,0.729166666666667,0.427083333333333,0.333333333333333,0.350965622961593,-0.329991530760921,0.471301849232791,1.13815895661804
"Goga Bitadze","NBA","C","INDORL",0.635416666666667,0.552083333333333,0.635416666666667,0.802083333333333,0.739583333333333,0.135416666666667,0.0202507965607358,-0.525166504870058,0.381731077338586,1.09617080870764
"Bol Bol","NBA","F-C","DENORL",0.614583333333333,0.125,0.3125,0.770833333333333,0.0416666666666667,0.645833333333333,-1.12724986374832,-0.882432974746827,1.42865841414065,-0.986432413616519
"LaMarcus Aldridge","NBA","F-C","BRKSAS",0.645833333333333,0.0833333333333333,0.479166666666667,0.364583333333333,0.125,0.15625,-1.97950856909065,-0.980469815044751,-0.269654527930569,-0.153079297278357
"Hassan Whiteside","NBA","C","SACUTA",0.0625,0.833333333333333,0.0416666666666667,0.958333333333333,0.875,0.885416666666667,3.15041429186145,-0.583484443032407,0.950935742374793,-0.504555425589849
"James Wiseman","NBA","C","DETGSW",0.427083333333333,0.239583333333333,0.104166666666667,0.1875,0.25,0.583333333333333,-0.488706919979017,-0.765287833209848,-0.797320169257634,-1.33390495957321
"Walker Kessler","NBA","C","UTA",0.364583333333333,0.645833333333333,0.15625,1,0.875,0.666666666666667,1.9997014621342,-0.831762789651384,1.03406142624151,-0.334596380462989
"Dewayne Dedmon","NBA","C","MIAPHI",0.625,0.583333333333333,0.40625,0.708333333333333,0.604166666666667,0.84375,0.611832447799785,0.371302383778135,0.832296901409511,-0.59362486807215
"Derrick Favors","NBA","F-C","OKCUTA",0.15625,0.177083333333333,0.197916666666667,0.760416666666667,0.729166666666667,0.458333333333333,1.06184311427474,-1.36729705560581,0.423346073156716,-0.93890759500488
"Dario Šarić","NBA","F-C","OKCPHO",0.916666666666667,0.333333333333333,0.677083333333333,0.0104166666666667,0.145833333333333,0.3125,-2.40810057208179,0.482363150273844,-1.11344478239594,0.0625883775143365
"Jalen Duren","NBA","C","DET",0.09375,0.708333333333333,0.28125,0.260416666666667,0.864583333333333,0.708333333333333,2.00832623582906,0.320896064674883,-1.10210768731918,-0.547901401816193
"Nick Richards","NBA","F-C","CHO",0.5625,0.947916666666667,0.0625,0.520833333333333,0.65625,0.416666666666667,1.15821933078723,-0.798487127690075,-0.668707329728964,0.515870826600207
"Isaiah Jackson","NBA","C-F","IND",0.291666666666667,0.854166666666667,0.125,0.9375,0.697916666666667,0.177083333333333,1.66893548749871,-1.71181130410558,0.330470516871022,1.17128047647392
"Cody Zeller","NBA","C-F","CHOMIAPOR",0.197916666666667,0.802083333333333,0.677083333333333,0.0729166666666667,0.78125,0.541666666666667,1.14470081147267,1.23963058394824,-1.5250127644199,0.43711620841846
"Jock Landale","NBA","C","PHOSAS",0.697916666666667,0.291666666666667,0.59375,0.15625,0.708333333333333,0.114583333333333,-0.992451207883571,-0.162530795613958,-1.45816411677057,0.0962109668909408
"Moses Brown","NBA","C","BRKCLEDALLACOKC",0,0.9375,0,0.354166666666667,0.979166666666667,0.8125,3.15750647741836,-0.0661372419251057,-1.11904107662033,-0.610258431684059
"DeMarcus Cousins","NBA","C-F","DENHOULACMIL",0.854166666666667,0.479166666666667,0.84375,0.5625,0.46875,0.916666666666667,-0.681514666995365,1.67369747313246,0.981305395866137,-0.456678032306526
"Gorgui Dieng","NBA","C","ATLMEMSAS",0.947916666666667,0.302083333333333,0.802083333333333,0.5625,0.291666666666667,0.572916666666667,-1.72808012788627,0.727654997956166,0.813405908640585,-0.111404656143434
"Tony Bradley","NBA","F-C","CHIOKCPHI",0.447916666666667,0.270833333333333,0.395833333333333,0.541666666666667,0.791666666666667,0.666666666666667,0.582738912413548,-0.0542767358735781,0.0799248179718437,-1.1183359983492
"Luke Kornet","NBA","C-F","BOSCHICLEMIL",0.479166666666667,0.0520833333333333,0.572916666666667,0.84375,0.479166666666667,0.0833333333333333,-0.842911999856036,-1.36650344839801,0.836410211982395,0.194884539510885
"Frank Kaminsky","NBA","F-C","ATLHOUPHO",0.8125,0.1875,0.833333333333333,0.53125,0.104166666666667,0.479166666666667,-2.10545065529133,0.453542691418103,0.836049038212424,-0.0316174980280395
"Willie Cauley-Stein","NBA","F-C","DALPHI",0.229166666666667,0.635416666666667,0.15625,0.677083333333333,0.25,0.302083333333333,0.543739616444953,-1.46508695103149,0.193746298293386,0.545382876959469
"Sandro Mamukelashvili","NBA","C-F","MILSAS",0.90625,0.135416666666667,0.65625,0.0416666666666667,0.520833333333333,0.104166666666667,-2.13343220659421,-0.0336553721834488,-1.50926225056073,-0.152211191848322
"Marc Gasol","NBA","C","LAL",0.979166666666667,0.229166666666667,0.822916666666667,0.895833333333333,0.0208333333333333,0.3125,-2.40976403280043,-0.238191907489323,1.81161220133354,0.648644376451464
"Aron Baynes","NBA","C","TOR",0.708333333333333,0.0208333333333333,0.322916666666667,0.0833333333333333,0.40625,0.4375,-1.48839957601093,-0.434896120824574,-1.12187560488639,-1.42230409389374
"Day'Ron Sharpe","NBA","C","BRK",0.604166666666667,0.416666666666667,0.520833333333333,0.302083333333333,1,0.364583333333333,0.311974176091089,0.163666262048882,-1.11626342866197,-0.288655234074742
"Nathan Knight","NBA","F-C","ATLMIN",0.510416666666667,0.979166666666667,0.34375,0.177083333333333,0.541666666666667,0.145833333333333,0.354689667026623,-0.300252095521784,-1.72253725839973,1.36599809518842
"Mark Williams","NBA","C","CHO",0,0.666666666666667,0.0208333333333333,0.6875,0.65625,0.791666666666667,2.36665874586214,-0.752888572818847,0.277087442851457,-0.757289177811744
"Christian Koloko","NBA","C","TOR",0.135416666666667,0.697916666666667,0.09375,0.885416666666667,0.59375,0.0208333333333333,1.41035477719299,-2.24624298280416,0.11913868926944,1.15088011003012
"Omer Yurtseven","NBA","C","MIA",0.302083333333333,0.166666666666667,0.59375,0.3125,0.802083333333333,0.958333333333333,0.661047722969906,1.1182651067334,-0.121531230310028,-1.82823023992319
"Charles Bassey","NBA","C","PHISAS",0.322916666666667,0.28125,0.666666666666667,0.927083333333333,0.895833333333333,0.760416666666667,1.16017323925494,0.372075140974472,1.42289799342071,-0.723570457620171
"Luka Garza","NBA","F-C","DETMIN",0.78125,0.8125,0.583333333333333,0,0.895833333333333,0.0104166666666667,-0.244549395478604,0.290381903190282,-2.43760940147293,1.24855133975653
"Kai Jones","NBA","F-C","CHO",0.395833333333333,0.197916666666667,0.0520833333333333,0.635416666666667,0.1875,0.114583333333333,-0.654634937779483,-2.35763838893819,0.0555841771833911,-0.195744723975756
"Udoka Azubuike","NBA","C","UTA",0,0.458333333333333,0.0104166666666667,0.625,0.458333333333333,0.75,1.62224300774883,-1.02918016107157,0.302139603412907,-1.08378016246106
"Boban Marjanović","NBA","C","DALHOU",0.239583333333333,0.5625,0.25,0.0208333333333333,0.833333333333333,0.864583333333333,1.43961582147185,0.727896046524867,-1.55830972611383,-1.39738067159766
"Olivier Sarr","NBA","C","OKC",0.760416666666667,0.322916666666667,0.239583333333333,0.208333333333333,0.354166666666667,0.0625,-1.41682105280093,-1.26379111870034,-1.30788467166829,0.0218962483618228
