"player","class","pos","team","x3_p_s","slasher","ball_dominant","playmaker","perim_defender","rim_protector","oreb","dreb","sim_1","sim_1_url","sim_2","sim_3","sim_4","sim_5","URL","#"
"Justin Archer","JR","F","Radford",0,0.927083333333333,0.106060606060606,0.391098484848485,0.114583333333333,0.167613636363636,0.957386363636364,0.711174242424242,"Tyler Cook","https://cdn.nba.com/headshots/nba/latest/260x190/1629076.png","Kenyon Martin Jr.","Jaylen Hoard","Dominick Barlow","Wenyen Gabriel","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5107507.png",0
"David Jones","JR","F","Memphis",0.867424242424242,0.302083333333333,0.974431818181818,0.0795454545454545,0.982007575757576,0.647727272727273,0.381628787878788,0.403409090909091,"OG Anunoby","https://cdn.nba.com/headshots/nba/latest/260x190/1628384.png","Cameron Johnson","Andrew Wiggins","Abdel Nader","Rudy Gay","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4713010.png",8
"Chris Bell","SO","F","Syracuse",0.974431818181818,0.040719696969697,0.809659090909091,0.0416666666666667,0.394886363636364,0.442234848484849,0.0123106060606061,0.0160984848484848,"AJ Griffin","https://cdn.nba.com/headshots/nba/latest/260x190/1631100.png","Trey Murphy III","Carmelo Anthony","Cameron Johnson","Georges Niang","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4684627.png",4
"Chris Payton","SR","F","Kent State",0.451704545454545,0.921401515151515,0.859848484848485,0.775568181818182,0.879734848484849,0.821022727272727,0.904356060606061,0.972537878787879,"Giannis Antetokounmpo","https://cdn.nba.com/headshots/nba/latest/260x190/203507.png","Isaiah Roby","Paul Millsap","Nemanja Bjelica","Brandon Clarke","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4897401.png",4
"Jaykwon Walton","SR","F","Memphis",0.726325757575758,0.265151515151515,0.622159090909091,0.71780303030303,0.785984848484849,0.62405303030303,0.128787878787879,0.170454545454545,"Mikal Bridges","https://cdn.nba.com/headshots/nba/latest/260x190/1628969.png","Cedi Osman","OG Anunoby","Cameron Johnson","P.J. Washington","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4431713.png",10
"Aundre Hyatt","SR","F","Rutgers",0.886363636363636,0.208333333333333,0.84280303030303,0.677083333333333,0.909090909090909,0.662878787878788,0.181818181818182,0.324810606060606,"OG Anunoby","https://cdn.nba.com/headshots/nba/latest/260x190/1628384.png","Cameron Johnson","P.J. Washington","Cedi Osman","Paul George","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4396975.png",5
"Nick Ellington","JR","F","Murray State",0,0.883522727272727,0.570075757575758,0.150568181818182,0.472537878787879,0.791666666666667,0.884469696969697,0.78125,"Jaxson Hayes","https://cdn.nba.com/headshots/nba/latest/260x190/1629637.png","Greg Brown III","Daniel Gafford","Wenyen Gabriel","John Collins","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5107894.png",11
"Kaosi Ezeagu","SR","F","New Mexico State",0,0.805871212121212,0.679924242424242,0.0123106060606061,0.110795454545455,0.0634469696969697,0.732007575757576,0.684659090909091,"Jabari Walker","https://cdn.nba.com/headshots/nba/latest/260x190/1631133.png","Precious Achiuwa","Tyler Cook","Rui Hachimura","Kenyon Martin Jr.","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4397867.png",1
"Voncameron Davis","SR","F","Kent State",0.728219696969697,0.227272727272727,0.706439393939394,0.0596590909090909,0.611742424242424,0.134469696969697,0.415719696969697,0.383522727272727,"Kelly Oubre Jr.","https://cdn.nba.com/headshots/nba/latest/260x190/1626162.png","Kevin Knox","Kelan Martin","David Roddy","Trey Murphy III","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4589474.png",1
"Robert Carpenter","SR","F","New Mexico State",0.595643939393939,0.385416666666667,0.815340909090909,0.0539772727272727,0.284090909090909,0.278409090909091,0.663825757575758,0.383522727272727,"Kelly Oubre Jr.","https://cdn.nba.com/headshots/nba/latest/260x190/1626162.png","Kelan Martin","David Roddy","Kevin Knox","Oshae Brissett","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4592486.png",21
"Maliq Brown","SO","F","Syracuse",0.182765151515152,0.556818181818182,0.0539772727272727,0.520833333333333,0.998106060606061,0.755681818181818,0.855113636363636,0.233901515151515,"Javonte Green","https://cdn.nba.com/headshots/nba/latest/260x190/1629750.png","Derrick Jones Jr.","Herbert Jones","Xavier Tillman Sr.","Caleb Martin","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5105337.png",1
"Clarence Jackson","JR","F","New Mexico State",0.601325757575758,0.337121212121212,0.648674242424242,0.175189393939394,0.385416666666667,0.0416666666666667,0.59375,0.753787878787879,"Trey Lyles","https://cdn.nba.com/headshots/nba/latest/260x190/1626168.png","Oshae Brissett","Juancho Hernangómez","Jordan Nwora","Kelan Martin","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4701238.png",25
"Robert Allen","SR","F","North Texas",0,0.975378787878788,0.322916666666667,0.683712121212121,0.930871212121212,0.814393939393939,0.970643939393939,0.996212121212121,"Jarred Vanderbilt","https://cdn.nba.com/headshots/nba/latest/260x190/1629020.png","Orlando Robinson","Isaiah Hartenstein","Drew Eubanks","Ed Davis","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4398245.png",10
"Dean Keeler","SR","F","UC Irvine",0,0.766098484848485,0.676136363636364,0.345643939393939,0.573863636363636,0.852272727272727,0.808712121212121,0.661931818181818,"Jaxson Hayes","https://cdn.nba.com/headshots/nba/latest/260x190/1629637.png","Greg Brown III","Daniel Gafford","Brandon Clarke","Bruno Fernando","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4592962.png",31
"Devin Tillis","SR","F","UC Irvine",0.746212121212121,0.278409090909091,0.704545454545455,0.941287878787879,0.817234848484849,0.439393939393939,0.220643939393939,0.988636363636364,"Paul George","https://cdn.nba.com/headshots/nba/latest/260x190/202331.png","Jayson Tatum","LeBron James","Markieff Morris","Kevin Love","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4703393.png",11
"Nick Jourdain","JR","F","Memphis",0.807765151515151,0.254734848484849,0.0255681818181818,0.71875,0.380681818181818,0.727272727272727,0.763257575757576,0.170454545454545,"Dorian Finney-Smith","https://cdn.nba.com/headshots/nba/latest/260x190/1627827.png","P.J. Tucker","Anthony Lamb","Grant Williams","KZ Okpala","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4701221.png",2
"Antwone Woolfolk","SO","F","Rutgers",0.354166666666667,0.911931818181818,0.25094696969697,0.743371212121212,0.84280303030303,0.497159090909091,0.435606060606061,0.350378787878788,"DeAndre' Bembry","https://cdn.nba.com/headshots/nba/latest/260x190/1627761.png","Stanley Johnson","Herbert Jones","Jalen McDaniels","Caleb Martin","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5105859.png",13
"Oskar Palmquist","SR","F","Rutgers",0.783143939393939,0.283143939393939,0.0975378787878788,0.472537878787879,0.945075757575758,0.643939393939394,0.352272727272727,0.0265151515151515,"Grant Williams","https://cdn.nba.com/headshots/nba/latest/260x190/1629684.png","Killian Tillie","Solomon Hill","Ish Wainright","Jake LaRavia","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4600664.png",9
"Delrecco Gillespie","SO","F","Kent State",0.24905303030303,0.627840909090909,0.263257575757576,0.416666666666667,0.537878787878788,0.470643939393939,0.950757575757576,0.609848484848485,"Wenyen Gabriel","https://cdn.nba.com/headshots/nba/latest/260x190/1629117.png","Greg Brown III","Keita Bates-Diop","Thanasis Antetokounmpo","Santi Aldama","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5108093.png",23
"Ashton Hardaway","FR","F","Memphis",0.965909090909091,0.0293560606060606,0.351325757575758,0.853219696969697,0.786931818181818,0.677083333333333,0,0.0596590909090909,"Joe Ingles","https://cdn.nba.com/headshots/nba/latest/260x190/204060.png","Solomon Hill","Sam Hauser","Mike Scott","Royce O'Neale","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4711280.png",4
"TJ NeSmith","SR","F","Radford",0.892045454545455,0.829545454545455,0.793560606060606,0.119318181818182,0.134469696969697,0.251893939393939,0.457386363636364,0.942234848484849,"Trey Lyles","https://cdn.nba.com/headshots/nba/latest/260x190/1626168.png","Michael Porter Jr.","Jabari Smith Jr.","Bobby Portis","Oshae Brissett","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4908561.png",23
"Tyem Freeman","SR","F","Kent State",0.950757575757576,0.165719696969697,0.43844696969697,0.395833333333333,0.78219696969697,0.357954545454545,0.224431818181818,0.00189393939393939,"Trey Murphy III","https://cdn.nba.com/headshots/nba/latest/260x190/1630530.png","Cameron Johnson","Patrick Patterson","Justin Holiday","Sam Hauser","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4897194.png",22
"Hayden Welling","SO","F","UC Irvine",0,0.634469696969697,0.272727272727273,0.0331439393939394,0.388257575757576,0.576704545454545,0.293560606060606,0.341856060606061,"Lamar Stevens","https://cdn.nba.com/headshots/nba/latest/260x190/1630205.png","Wes Iwundu","Jake Layman","T.J. Warren","Patrick Williams","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5107161.png",13
"Jordan Brown","SR","F","Memphis",0,0.75,0.899621212121212,0.00757575757575758,0.37594696969697,0.501893939393939,0.884469696969697,0.5625,"Tari Eason","https://cdn.nba.com/headshots/nba/latest/260x190/1631106.png","Precious Achiuwa","John Collins","Greg Brown III","Jalen Smith","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4397340.png",3
